 Project Number , Site Work , Structures , Requirements , Overhead , Profit , Prevailing Wages , Insurance , Third Party Management , Total Constr Costs ,GC Fee Percentage (of Total Costs),GC Fee Percentage (of Hard Costs)
 CA-24-482 ," $5,441,600 "," $36,488,002 "," $2,253,414 "," $751,138 "," $1,502,276 "," $255,000 "," $600,910 "," $380,000 "," $48,085,466 ",11%,14%
 CA-24-483 ," $250,000 "," $39,209,777 "," $2,491,375 ", $-   ," $1,927,663 ", $-   ," $318,000 ", $-   ," $44,630,241 ",11%,12%
 CA-24-484 ," $1,500,000 "," $38,800,000 "," $850,000 "," $300,000 "," $450,000 ", $-   ," $450,000 ", $-   ," $42,350,000 ",5%,5%
 CA-24-485 ," $400,000 "," $34,350,931 "," $3,475,093 "," $695,019 "," $695,018 ", $-   ," $594,683 ", $-   ," $40,640,131 ",13%,16%
 CA-24-486 ," $5,303,930 "," $38,713,650 "," $2,641,055 "," $933,173 "," $2,799,518 ", $-   ," $1,511,740 ", $-   ," $51,903,066 ",15%,20%
 CA-24-487 , $-   ," $20,688,100 "," $1,526,216 "," $763,108 "," $763,108 ", $-   ," $497,110 ", $-   ," $24,491,169 ",14%,17%
 CA-24-488 , $-   ," $11,009,252 "," $840,297 "," $420,148 "," $420,148 ", $-   ," $273,696 ", $-   ," $13,067,042 ",15%,18%
 CA-24-489 ," $2,287,751 "," $36,711,542 "," $2,500,528 "," $457,536 "," $1,372,606 "," $9,749,823 "," $696,509 ", $-   ," $53,879,276 ",9%,14%
 CA-24-490 ," $1,951,965 "," $33,825,316 "," $3,226,446 "," $237,918 "," $713,754 ", $-   ," $1,591,195 ", $-   ," $41,987,009 ",14%,17%
 CA-24-491 ," $3,628,931 "," $50,467,225 "," $3,416,831 "," $2,128,729 ", $-   , $-   ," $1,423,139 ", $-   ," $62,864,855 ",11%,14%
 CA-24-492 ," $3,579,885 "," $22,712,050 "," $1,813,510 "," $1,186,860 "," $1,186,860 ", $-   ," $113,710 ", $-   ," $30,592,875 ",14%,19%
 CA-24-493 ," $1,930,000 "," $47,921,344 "," $2,991,081 "," $1,994,000 "," $1,994,000 ", $-   , $-   , $-   ," $56,830,425 ",12%,15%
 CA-24-494 , $-   ," $35,752,630 "," $2,347,854 "," $3,553,927 ", $-   ," $6,309,288 "," $959,560 "," $250,000 "," $49,187,570 ",14%,19%
 CA-24-495 ," $920,000 "," $9,349,650 "," $425,040 "," $318,780 "," $318,780 ", $-   ," $233,772 "," $270,000 "," $12,192,372 ",11%,14%
 CA-24-496 ," $5,334,998 "," $16,645,852 "," $1,080,000 "," $925,838 "," $925,839 ", $-   , $-   ," $150,000 "," $26,148,076 ",11%,18%
 CA-24-497 ," $800,000 "," $25,837,944 "," $1,584,727 "," $528,242 "," $1,584,727 ", $-   , $-   ," $642,000 "," $30,977,640 ",12%,14%
 CA-24-498 ," $880,828 "," $38,953,154 "," $2,082,379 "," $725,514 "," $725,514 ", $-   ," $727,209 "," $200,000 "," $44,294,598 ",10%,11%
 CA-24-499 ," $4,320,000 "," $115,228,400 "," $7,820,904 "," $2,606,968 "," $7,820,904 ", $-   , $-   , $-   ," $140,897,176 ",13%,16%
 CA-24-500 ," $1,296,359 "," $25,165,366 "," $1,557,421 "," $372,783 "," $372,783 ", $-   ," $482,300 "," $575,664 "," $29,822,676 ",9%,11%
 CA-24-501 ," $720,000 "," $23,224,554 "," $1,086,975 "," $852,986 "," $852,986 "," $5,986,139 "," $570,129 "," $188,720 "," $34,382,489 ",10%,14%
 CA-24-502 ," $8,754,167 "," $27,797,390 "," $2,401,003 "," $500,000 "," $2,000,836 ", $-   ," $350,000 ", $-   ," $42,253,396 ",12%,19%
 CA-24-503 ," $2,450,000 "," $67,851,011 "," $4,218,061 "," $2,812,000 "," $2,812,000 ", $-   , $-   , $-   ," $80,143,072 ",12%,15%
